,Ø Êmbolo (mm),Ø Haste (mm),Curso (mm),Modelo,Norma,Fabricante,Comprimento Total (mm),Rosca Haste,Conexão Pneumática,▯ Distância Quadrada Fixações (mm),Parafuso de Fixação,Pressão Máxima (Bar)
142,16,8,50,ADN-16-50-A-P-A,21287,Festo,101.7,M6,M5,18.0,M4,10
143,16,8,80,ADN-16-80-A-P-A,21287,Festo,131.7,M6,M5,18.0,M4,10
144,20,10,30,ADN-20-30-A-P-A,21287,Festo,88.5,M8,M5,22.0,M5,10
145,20,10,40,ADN-20-40-A-P-A,21287,Festo,98.5,M8,M5,22.0,M5,10
146,20,10,20,ADN-20-20-A-P-A,21287,Festo,78.5,M8,M5,22.0,M5,10
147,20,10,25,ADN-20-25-A-P-A,21287,Festo,83.5,M8,M5,22.0,M5,10
148,20,10,10,ADN-20-10-A-P-A,21287,Festo,68.5,M8,M5,22.0,M5,10
149,20,10,80,ADN-20-80-A-P-A,21287,Festo,138.5,M8,M5,22.0,M5,10
150,20,10,60,ADN-20-60-A-P-A,21287,Festo,118.5,M8,M5,22.0,M5,10
151,20,10,50,ADN-20-50-A-P-A,21287,Festo,108.5,M8,M5,22.0,M5,10
152,20,10,15,ADN-20-15-A-P-A,21287,Festo,73.5,M8,M5,22.0,M5,10
153,25,10,15,ADN-25-15-A-P-A,21287,Festo,75.5,M8,M5,26.0,M5,10
154,25,10,25,ADN-25-25-A-P-A,21287,Festo,85.5,M8,M5,26.0,M5,10
