,Ø Êmbolo (mm),Ø Haste (mm),Curso (mm),Modelo,Norma,Fabricante,Comprimento Total (mm),Rosca Haste,Conexão Pneumática,▯ Distância Quadrada Fixações (mm),Parafuso de Fixação,Pressão Máxima (Bar)
366,40,16,45,CD55B40-45M,21287,SMC,123.0,M10x1.25,G1/8,38.0,M6,10
367,40,16,50,CD55B40-50M,21287,SMC,128.0,M10x1.25,G1/8,38.0,M6,10
368,40,16,100,CD55B40-100M,21287,SMC,178.0,M10x1.25,G1/8,38.0,M6,10
369,40,16,125,CD55B40-125M,21287,SMC,203.0,M10x1.25,G1/8,38.0,M6,10
370,40,16,150,CD55B40-150M,21287,SMC,228.0,M10x1.25,G1/8,38.0,M6,10
371,50,20,5,CD55B50-5M,21287,SMC,88.0,M12x1.25,G1/8,46.5,M8,10
372,50,20,100,CD55B50-100M,21287,SMC,183.0,M12x1.25,G1/8,46.5,M8,10
373,50,20,125,CD55B50-125M,21287,SMC,208.0,M12x1.25,G1/8,46.5,M8,10
374,50,20,150,CD55B50-150M,21287,SMC,233.0,M12x1.25,G1/8,46.5,M8,10
375,63,20,5,CD55B63-5M,21287,SMC,92.0,M12x1.25,G1/8,56.5,M8,10
376,63,20,100,CD55B63-100M,21287,SMC,187.0,M12x1.25,G1/8,56.5,M8,10
377,63,20,125,CD55B63-125M,21287,SMC,212.0,M12x1.25,G1/8,56.5,M8,10
378,63,20,150,CD55B63-150M,21287,SMC,237.0,M12x1.25,G1/8,56.5,M8,10
379,80,25,10,CD55B80-10M,21287,SMC,102.0,M16x1.5,G1/8,72.0,M10,10
380,80,25,15,CD55B80-15M,21287,SMC,107.0,M16x1.5,G1/8,72.0,M10,10
381,80,25,20,CD55B80-20M,21287,SMC,112.0,M16x1.5,G1/8,72.0,M10,10
382,80,25,25,CD55B80-25M,21287,SMC,117.0,M16x1.5,G1/8,72.0,M10,10
383,80,25,30,CD55B80-30M,21287,SMC,122.0,M16x1.5,G1/8,72.0,M10,10
384,80,25,35,CD55B80-35M,21287,SMC,127.0,M16x1.5,G1/8,72.0,M10,10
385,80,25,40,CD55B80-40M,21287,SMC,132.0,M16x1.5,G1/8,72.0,M10,10
386,80,25,45,CD55B80-45M,21287,SMC,137.0,M16x1.5,G1/8,72.0,M10,10
387,80,25,50,CD55B80-50M,21287,SMC,142.0,M16x1.5,G1/8,72.0,M10,10
388,80,25,60,CD55B80-60M,21287,SMC,152.0,M16x1.5,G1/8,72.0,M10,10
389,80,25,80,CD55B80-80M,21287,SMC,172.0,M16x1.5,G1/8,72.0,M10,10
390,80,25,100,CD55B80-100M,21287,SMC,192.0,M16x1.5,G1/8,72.0,M10,10
391,80,25,125,CD55B80-125M,21287,SMC,217.0,M16x1.5,G1/8,72.0,M10,10
392,100,25,20,CD55B100-20M,21287,SMC,126.5,M16x1.5,G1/8,89.0,M10,10
393,100,25,25,CD55B100-25M,21287,SMC,131.5,M16x1.5,G1/8,89.0,M10,10
394,100,25,30,CD55B100-30M,21287,SMC,136.5,M16x1.5,G1/8,89.0,M10,10
395,100,25,35,CD55B100-35M,21287,SMC,141.5,M16x1.5,G1/8,89.0,M10,10
396,100,25,40,CD55B100-40M,21287,SMC,146.5,M16x1.5,G1/8,89.0,M10,10
397,100,25,45,CD55B100-45M,21287,SMC,151.5,M16x1.5,G1/8,89.0,M10,10
398,100,25,50,CD55B100-50M,21287,SMC,156.5,M16x1.5,G1/8,89.0,M10,10
399,100,25,60,CD55B100-60M,21287,SMC,166.5,M16x1.5,G1/8,89.0,M10,10
400,100,25,80,CD55B100-80M,21287,SMC,186.5,M16x1.5,G1/8,89.0,M10,10
